127.0.0.1 - - [04/Sep/2021:10:05:27 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:05:28 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:05:28 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:05:28 +0900] "GET /webpro/Webpage/html/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:05:28 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:07:41 +0900] "GET /webpro/0901/simentic_layout.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:07:41 +0900] "GET /webpro/images/spongebob.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:08:17 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:08:17 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:08:17 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:20 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:20 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:20 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:21 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:21 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:21 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:23 +0900] "GET /webpro/Webpage/html/clothing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:23 +0900] "GET /webpro/Webpage/images/%EB%B0%94%EC%A7%801.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:23 +0900] "GET /webpro/Webpage/images/%EC%8B%A0%EB%B0%9C1.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:24 +0900] "GET /webpro/Webpage/html/music.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:24 +0900] "GET /webpro/Webpage/multi/old_pop.mp3 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:24 +0900] "GET /webpro/Webpage/multi/old_pop.mp3 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:24 +0900] "GET /webpro/Webpage/multi/old_pop.mp3 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:24 +0900] "GET /webpro/Webpage/html/movie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:24 +0900] "GET /webpro/Webpage/multi/trailer.mp4 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:25 +0900] "GET /webpro/Webpage/html/sports.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:26 +0900] "GET /webpro/Webpage/html/furniture.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:09:26 +0900] "GET /webpro/Webpage/html/food.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:43 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:43 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:43 +0900] "GET /webpro/Webpage/images/%EC%87%BC%ED%95%91%EB%B0%B1.jpg HTTP/1.1" 200 12713
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:43 +0900] "GET /webpro/Webpage/html/computer.html HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:43 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:43 +0900] "GET /webpro/Webpage/images/%EC%BB%B4%ED%93%A8%ED%84%B02.jpg HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:43 +0900] "GET /webpro/Webpage/images/%EC%BB%B4%ED%93%A8%ED%84%B03.jpg HTTP/1.1" 200 5186
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:43 +0900] "GET /webpro/Webpage/images/%EC%BB%B4%ED%93%A8%ED%84%B01.jpg HTTP/1.1" 200 33871
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:52 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:52 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:10:52 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:14 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:14 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:14 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:22 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:22 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:22 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:23 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:23 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:23 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:27 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:27 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:27 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:27 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:27 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:27 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:32 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:32 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:32 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:41 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:41 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:41 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:52 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:11:52 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3591
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:13:12 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:13:12 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:13:12 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:26 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:26 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:26 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:26 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:26 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:26 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:27 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:27 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:27 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:28 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:28 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:28 +0900] "GET /webpro/Webpage/images/%EC%87%BC%ED%95%91%EB%B0%B1.jpg HTTP/1.1" 200 12713
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:28 +0900] "GET /webpro/Webpage/html/computer.html HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:28 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:28 +0900] "GET /webpro/Webpage/images/%EC%BB%B4%ED%93%A8%ED%84%B01.jpg HTTP/1.1" 200 33871
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:28 +0900] "GET /webpro/Webpage/images/%EC%BB%B4%ED%93%A8%ED%84%B02.jpg HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:28 +0900] "GET /webpro/Webpage/images/%EC%BB%B4%ED%93%A8%ED%84%B03.jpg HTTP/1.1" 200 5186
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:14:28 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:15:00 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:15:00 +0900] "GET /webpro/Webpage/css/mystyle.css HTTP/1.1" 200 3536
0:0:0:0:0:0:0:1 - - [04/Sep/2021:10:15:22 +0900] "GET /webpro/Webpage/html/index.html HTTP/1.1" 304 -
