127.0.0.1 - - [13/Sep/2021:13:38:55 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:38:55 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:38:55 +0900] "GET /webpro/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:38:55 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:43:35 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:44:37 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:44:37 +0900] "GET /webpro/css/mystyle.css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:44:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:44:50 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:45:54 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:45:56 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:45:57 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:45:57 +0900] "GET /webpro/css/mystyle.css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:45:57 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:45:58 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:45:58 +0900] "GET /webpro/css/mystyle.css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:45:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:45:59 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:58:14 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [13/Sep/2021:13:58:26 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [13/Sep/2021:14:02:30 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [13/Sep/2021:14:02:31 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:14:02:31 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2021:14:05:44 +0900] "GET /webpro/0913/Domtree.html HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [13/Sep/2021:14:05:44 +0900] "GET /webpro/css/mystyle.css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [13/Sep/2021:14:05:44 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
